log_id,g_id,date,status_id,comment,time
695b95b4e1011,1767609780,2026-01-05,1,スタート,0
695b9aadb5205,1767609780,2026-01-05,2,"主人公が攫われた理由を解き明かすために「シタデル」というマップを目指すらしい ",4
695b9e897eaaf,1767609780,2026-01-05,2,シタデル到着，門番が神ボスだった,10
